_id,uid,number,bookedBikes,bikes,bikeList,lat,lng,name
1,12497516,15001,0,7,"[{""active"": true, ""number"": ""57918"", ""bikeType"": 71}, {""active"": true, ""number"": ""57605"", ""bikeType"": 71}, {""active"": true, ""number"": ""650941"", ""bikeType"": 71}, {""active"": true, ""number"": ""650678"", ""bikeType"": 71}, {""active"": true, ""number"": ""650356"", ""bikeType"": 71}, {""active"": true, ""number"": ""650352"", ""bikeType"": 71}, {""active"": true, ""number"": ""650044"", ""bikeType"": 71}]",51.108004,17.039528,Plac Dominikański (Galeria Dominikańska)
2,12497641,15002,0,4,"[{""active"": true, ""number"": ""650940"", ""bikeType"": 71}, {""active"": true, ""number"": ""650789"", ""bikeType"": 71}, {""active"": true, ""number"": ""650724"", ""bikeType"": 71}, {""active"": true, ""number"": ""650283"", ""bikeType"": 71}]",51.097108064432,17.036109566689,"Dworzec Główny, południe"
3,12497699,15003,0,5,"[{""active"": true, ""number"": ""57210"", ""bikeType"": 71}, {""active"": true, ""number"": ""650936"", ""bikeType"": 71}, {""active"": true, ""number"": ""650647"", ""bikeType"": 71}, {""active"": true, ""number"": ""650232"", ""bikeType"": 71}, {""active"": true, ""number"": ""651218"", ""bikeType"": 71}]",51.109782,17.030175,Rynek
4,12497748,15004,0,8,"[{""active"": true, ""number"": ""57878"", ""bikeType"": 71}, {""active"": true, ""number"": ""57409"", ""bikeType"": 71}, {""active"": true, ""number"": ""57389"", ""bikeType"": 71}, {""active"": true, ""number"": ""57343"", ""bikeType"": 71}, {""active"": true, ""number"": ""57175"", ""bikeType"": 71}, {""active"": true, ""number"": ""57127"", ""bikeType"": 71}, {""active"": true, ""number"": ""650974"", ""bikeType"": 71}, {""active"": true, ""number"": ""651206"", ""bikeType"": 71}]",51.09975,17.036228,Dworzec Główny 
5,12497776,15005,0,9,"[{""active"": true, ""number"": ""57929"", ""bikeType"": 71}, {""active"": true, ""number"": ""57801"", ""bikeType"": 71}, {""active"": true, ""number"": ""57683"", ""bikeType"": 71}, {""active"": true, ""number"": ""57575"", ""bikeType"": 71}, {""active"": true, ""number"": ""650806"", ""bikeType"": 71}, {""active"": true, ""number"": ""650362"", ""bikeType"": 71}, {""active"": true, ""number"": ""650147"", ""bikeType"": 71}, {""active"": true, ""number"": ""650137"", ""bikeType"": 71}, {""active"": true, ""number"": ""650078"", ""bikeType"": 71}]",51.124879,17.045844,Nowowiejska / Jedności Narodowej
6,12497800,15006,0,24,"[{""active"": true, ""number"": ""57945"", ""bikeType"": 71}, {""active"": true, ""number"": ""57877"", ""bikeType"": 71}, {""active"": true, ""number"": ""57750"", ""bikeType"": 71}, {""active"": true, ""number"": ""57558"", ""bikeType"": 71}, {""active"": true, ""number"": ""57550"", ""bikeType"": 71}, {""active"": true, ""number"": ""57418"", ""bikeType"": 71}, {""active"": true, ""number"": ""57364"", ""bikeType"": 71}, {""active"": true, ""number"": ""650976"", ""bikeType"": 71}, {""active"": true, ""number"": ""650917"", ""bikeType"": 71}, {""active"": true, ""number"": ""650912"", ""bikeType"": 71}, {""active"": true, ""number"": ""650886"", ""bikeType"": 71}, {""active"": true, ""number"": ""650779"", ""bikeType"": 71}, {""active"": true, ""number"": ""650652"", ""bikeType"": 71}, {""active"": true, ""number"": ""650590"", ""bikeType"": 71}, {""active"": true, ""number"": ""650511"", ""bikeType"": 71}, {""active"": true, ""number"": ""650305"", ""bikeType"": 71}, {""active"": true, ""number"": ""650297"", ""bikeType"": 71}, {""active"": true, ""number"": ""650253"", ""bikeType"": 71}, {""active"": true, ""number"": ""650247"", ""bikeType"": 71}, {""active"": true, ""number"": ""650223"", ""bikeType"": 71}, {""active"": true, ""number"": ""650152"", ""bikeType"": 71}, {""active"": true, ""number"": ""650071"", ""bikeType"": 71}, {""active"": true, ""number"": ""651211"", ""bikeType"": 71}, {""active"": true, ""number"": ""651201"", ""bikeType"": 71}]",51.125276,16.984447,Legnicka / Wejherowska
7,12497838,15007,0,10,"[{""active"": true, ""number"": ""58000"", ""bikeType"": 71}, {""active"": true, ""number"": ""57442"", ""bikeType"": 71}, {""active"": true, ""number"": ""57186"", ""bikeType"": 71}, {""active"": true, ""number"": ""650990"", ""bikeType"": 71}, {""active"": true, ""number"": ""650776"", ""bikeType"": 71}, {""active"": true, ""number"": ""650604"", ""bikeType"": 71}, {""active"": true, ""number"": ""650566"", ""bikeType"": 71}, {""active"": true, ""number"": ""650248"", ""bikeType"": 71}, {""active"": true, ""number"": ""650067"", ""bikeType"": 71}, {""active"": true, ""number"": ""651011"", ""bikeType"": 71}]",51.112154,17.060451,Rondo Reagana
8,12497859,15008,0,4,"[{""active"": true, ""number"": ""57874"", ""bikeType"": 71}, {""active"": true, ""number"": ""57564"", ""bikeType"": 71}, {""active"": true, ""number"": ""57011"", ""bikeType"": 71}, {""active"": true, ""number"": ""650517"", ""bikeType"": 71}]",51.100862,17.008224,Pereca / Grabiszyńska
9,12497882,15009,0,3,"[{""active"": true, ""number"": ""57811"", ""bikeType"": 71}, {""active"": true, ""number"": ""57261"", ""bikeType"": 71}, {""active"": true, ""number"": ""650083"", ""bikeType"": 71}]",51.086689,17.01248,Powstańcow Śląskich / Aleja Hallera
10,12497910,15010,0,7,"[{""active"": true, ""number"": ""57772"", ""bikeType"": 71}, {""active"": true, ""number"": ""57733"", ""bikeType"": 71}, {""active"": true, ""number"": ""57433"", ""bikeType"": 71}, {""active"": true, ""number"": ""650899"", ""bikeType"": 71}, {""active"": true, ""number"": ""650611"", ""bikeType"": 71}, {""active"": true, ""number"": ""650519"", ""bikeType"": 71}, {""active"": true, ""number"": ""650214"", ""bikeType"": 71}]",51.094413,16.980911,Grabiszyńska / Aleja Hallera
11,12497965,15011,0,9,"[{""active"": true, ""number"": ""57996"", ""bikeType"": 71}, {""active"": true, ""number"": ""57855"", ""bikeType"": 71}, {""active"": true, ""number"": ""57744"", ""bikeType"": 71}, {""active"": true, ""number"": ""57717"", ""bikeType"": 71}, {""active"": true, ""number"": ""650835"", ""bikeType"": 71}, {""active"": true, ""number"": ""650559"", ""bikeType"": 71}, {""active"": true, ""number"": ""650483"", ""bikeType"": 71}, {""active"": true, ""number"": ""650143"", ""bikeType"": 71}, {""active"": true, ""number"": ""651012"", ""bikeType"": 71}]",51.094521,17.020876,Szczęśliwa (Sky Tower)
12,12498004,15012,0,5,"[{""active"": true, ""number"": ""57626"", ""bikeType"": 71}, {""active"": true, ""number"": ""57400"", ""bikeType"": 71}, {""active"": true, ""number"": ""57383"", ""bikeType"": 71}, {""active"": true, ""number"": ""650459"", ""bikeType"": 71}, {""active"": true, ""number"": ""650145"", ""bikeType"": 71}]",51.112911,17.00136,Śrubowa / Strzegomska
13,12498059,15013,0,7,"[{""active"": true, ""number"": ""57711"", ""bikeType"": 71}, {""active"": true, ""number"": ""57378"", ""bikeType"": 71}, {""active"": true, ""number"": ""650844"", ""bikeType"": 71}, {""active"": true, ""number"": ""650265"", ""bikeType"": 71}, {""active"": true, ""number"": ""650235"", ""bikeType"": 71}, {""active"": true, ""number"": ""650133"", ""bikeType"": 71}, {""active"": true, ""number"": ""651020"", ""bikeType"": 71}]",51.105207,17.053675,Na Grobli (PWr - Geocentrum)
14,12498130,15014,0,12,"[{""active"": true, ""number"": ""57712"", ""bikeType"": 71}, {""active"": true, ""number"": ""57059"", ""bikeType"": 71}, {""active"": true, ""number"": ""57054"", ""bikeType"": 71}, {""active"": true, ""number"": ""650980"", ""bikeType"": 71}, {""active"": true, ""number"": ""650639"", ""bikeType"": 71}, {""active"": true, ""number"": ""650453"", ""bikeType"": 71}, {""active"": true, ""number"": ""650443"", ""bikeType"": 71}, {""active"": true, ""number"": ""650294"", ""bikeType"": 71}, {""active"": true, ""number"": ""650195"", ""bikeType"": 71}, {""active"": true, ""number"": ""650103"", ""bikeType"": 71}, {""active"": true, ""number"": ""650056"", ""bikeType"": 71}, {""active"": true, ""number"": ""651023"", ""bikeType"": 71}]",51.126907,16.978759,Lotnicza / Na Ostatnim Groszu
15,12498262,15015,0,4,"[{""active"": true, ""number"": ""57861"", ""bikeType"": 71}, {""active"": true, ""number"": ""57197"", ""bikeType"": 71}, {""active"": true, ""number"": ""650244"", ""bikeType"": 71}, {""active"": true, ""number"": ""650049"", ""bikeType"": 71}]",51.095322,17.033388,Dyrekcyjna / Borowska (Wroclavia)
16,12498285,15016,0,10,"[{""active"": true, ""number"": ""57689"", ""bikeType"": 71}, {""active"": true, ""number"": ""57504"", ""bikeType"": 71}, {""active"": true, ""number"": ""57133"", ""bikeType"": 71}, {""active"": true, ""number"": ""650852"", ""bikeType"": 71}, {""active"": true, ""number"": ""650846"", ""bikeType"": 71}, {""active"": true, ""number"": ""650820"", ""bikeType"": 71}, {""active"": true, ""number"": ""650795"", ""bikeType"": 71}, {""active"": true, ""number"": ""650672"", ""bikeType"": 71}, {""active"": true, ""number"": ""650642"", ""bikeType"": 71}, {""active"": true, ""number"": ""650010"", ""bikeType"": 71}]",51.088908,17.034051,Kamienna / Borowska (Aquapark)
