,date,time,timestamp,totalSnow_cm,sunrise,sunset,tempC,FeelsLikeC,HeatIndexC,windspeedKmph,weatherCode,precipMM,humidity,visibility,pressure,cloudcover
0,2016-07-01,0.0,1467324000.0,0.0,281,1270,16,17,17,3,113,0.0,94,10,1016,9
1,2016-07-01,60.0,1467327600.0,0.0,281,1270,15,16,16,4,113,0.0,94,10,1016,9
2,2016-07-01,120.0,1467331200.0,0.0,281,1270,15,16,16,4,113,0.0,94,10,1016,9
3,2016-07-01,180.0,1467334800.0,0.0,281,1270,15,16,16,4,113,0.0,94,10,1016,9
4,2016-07-01,240.0,1467338400.0,0.0,281,1270,17,18,19,5,113,0.0,87,10,1017,9
5,2016-07-01,300.0,1467342000.0,0.0,281,1270,19,20,22,6,113,0.0,81,10,1017,10
6,2016-07-01,360.0,1467345600.0,0.0,281,1270,21,22,24,8,113,0.0,74,10,1017,10
7,2016-07-01,420.0,1467349200.0,0.0,281,1270,23,25,25,8,113,0.0,65,10,1017,11
8,2016-07-01,480.0,1467352800.0,0.0,281,1270,25,26,26,9,113,0.0,56,10,1017,13
9,2016-07-01,540.0,1467356400.0,0.0,281,1270,26,27,27,9,113,0.0,47,10,1017,14
10,2016-07-01,600.0,1467360000.0,0.0,281,1270,27,28,28,10,113,0.0,46,10,1017,22
11,2016-07-01,660.0,1467363600.0,0.0,281,1270,28,28,28,10,116,0.0,45,10,1017,30
12,2016-07-01,720.0,1467367200.0,0.0,281,1270,28,28,28,11,116,0.0,43,10,1017,38
13,2016-07-01,780.0,1467370800.0,0.0,281,1270,28,28,28,11,116,0.0,46,10,1017,33
14,2016-07-01,840.0,1467374400.0,0.0,281,1270,28,28,28,10,176,0.2,48,9,1016,28
15,2016-07-01,900.0,1467378000.0,0.0,281,1270,27,28,28,10,176,0.2,50,9,1016,23
16,2016-07-01,960.0,1467381600.0,0.0,281,1270,26,27,27,10,176,0.1,57,9,1016,20
17,2016-07-01,1020.0,1467385200.0,0.0,281,1270,24,26,26,9,113,0.0,64,10,1016,17
18,2016-07-01,1080.0,1467388800.0,0.0,281,1270,23,25,25,9,113,0.0,71,10,1016,14
19,2016-07-01,1140.0,1467392400.0,0.0,281,1270,22,22,23,9,113,0.0,74,10,1016,13
20,2016-07-01,1200.0,1467396000.0,0.0,281,1270,21,21,22,9,113,0.0,76,10,1016,13
21,2016-07-01,1260.0,1467399600.0,0.0,281,1270,19,20,20,9,113,0.0,79,10,1016,13
22,2016-07-01,1320.0,1467403200.0,0.0,281,1270,19,19,19,9,113,0.0,79,10,1016,13
23,2016-07-01,1380.0,1467406800.0,0.0,281,1270,19,19,19,9,113,0.0,80,10,1016,13
24,2016-07-02,0.0,1467410400.0,0.0,282,1270,18,19,19,9,113,0.0,81,10,1015,14
25,2016-07-02,60.0,1467414000.0,0.0,282,1270,18,18,18,9,113,0.0,81,10,1015,14
26,2016-07-02,120.0,1467417600.0,0.0,282,1270,18,18,18,8,113,0.0,81,10,1015,13
27,2016-07-02,180.0,1467421200.0,0.0,282,1270,18,18,18,8,113,0.0,82,10,1015,13
28,2016-07-02,240.0,1467424800.0,0.0,282,1270,20,20,21,9,113,0.0,75,10,1015,12
29,2016-07-02,300.0,1467428400.0,0.0,282,1270,22,22,23,10,113,0.0,68,10,1015,10
30,2016-07-02,360.0,1467432000.0,0.0,282,1270,24,25,25,11,113,0.0,61,10,1014,9
31,2016-07-02,420.0,1467435600.0,0.0,282,1270,26,27,27,12,113,0.0,54,10,1014,9
32,2016-07-02,480.0,1467439200.0,0.0,282,1270,28,28,28,13,113,0.0,46,10,1014,10
33,2016-07-02,540.0,1467442800.0,0.0,282,1270,30,29,29,14,113,0.0,38,10,1013,10
34,2016-07-02,600.0,1467446400.0,0.0,282,1270,30,30,30,14,113,0.0,37,10,1013,16
35,2016-07-02,660.0,1467450000.0,0.0,282,1270,30,30,30,14,116,0.0,36,10,1012,23
36,2016-07-02,720.0,1467453600.0,0.0,282,1270,31,30,30,15,116,0.0,35,10,1012,29
