station_nbr;name;lat;lng
15001;Plac Dominikański (Galeria Dominikańska);51.108004; 17.039528
15002;Dworzec Główny, południe;51.097108064432; 17.036109566688538
15003;Rynek;51.109782; 17.030175
15004;Dworzec Główny;51.09975; 17.036228
15005;Nowowiejska / Jedności Narodowej;51.124879; 17.045844
15006;Legnicka / Wejherowska;51.125276; 16.984447
15007;Rondo Reagana;51.112154; 17.060451
15008;Pereca / Grabiszyńska;51.100862; 17.008224
15009;Powstańcow Śląskich / Aleja Hallera;51.086689; 17.01248
15010;Grabiszyńska / Aleja Hallera;51.094413; 16.980911
15011;Szczęśliwa (Sky Tower);51.094521; 17.020876
15012;Śrubowa / Strzegomska;51.112911; 17.00136
15013;Na Grobli (PWr - Geocentrum);51.105207; 17.053675
15014;Lotnicza / Na Ostatnim Groszu;51.126907; 16.978759
15015;Dyrekcyjna / Borowska (Wroclavia);51.095322; 17.033388
15016;Kamienna / Borowska (Aquapark);51.088908; 17.034051
15017;Wyszyńskiego / Szczytnicka;51.113562051418874; 17.050673961639404
15018;Radeckiego / Marcinkowskiego (Uniw. Medyczny - CNIM);51.111727; 17.06768
15019;Borowska (Uniw. Szpital Kliniczny);51.074868; 17.032457
15020;Legnicka (Park Magnolia);51.121059; 16.993088
15021;Kurkowa / Dubois;51.118237; 17.028792
15022;Jagiełły / Dmowskiego;51.116612; 17.023873
15023;Plac Powstańców Śląskich;51.091457; 17.017405
15024;Wróblewskiego (ZOO);51.10592; 17.075857
15025;Ślężna / Aleja Wiśniowa;51.084239; 17.02439
15026;Trymanda / Mińska;51.103216; 16.9461
15027;Janiszewskiego (PWr);51.109332; 17.060511
15028;Norwida / Wyspiańskiego (PWr);51.107235; 17.060715
15029;Plac Świętego Macieja / Trzebnicka;51.120474; 17.036641
15030;Mińska / stanisławowska;51.099401; 16.941016
15031;Traktatowa (przystanek kolejowy);51.11236; 16.973689
15032;Wita Stwosza / Szewska;51.110274; 17.034912
15033;Plac Kościuszki (Renoma);51.103354; 17.030704
15034;Plac Jana Pawła II (Akademia Muzyczna);51.111489; 17.020981
15035;Plac Uniwersytecki (UWr);51.113871; 17.034484
15036;Fabryczna / Wagonowa;51.112440604345906; 16.988554000854492
15037;Plac Legionów;51.104413; 17.022536
15038;Świdnicka / Piłsudskiego (Hotel Scandic);51.101322; 17.028528
15039;Kościuszki / Pułaskiego;51.1004; 17.045083
15040;Plac Powstańców Warszawy (Muzeum Narodowe);51.110001; 17.047736
15041;Kościuszki / Komuny Paryskiej / Zgodna;51.098959; 17.051519
15042;Traugutta / Pułaskiego;51.104571; 17.048102
15043;Stacyjna (Dworzec Mikołajów);51.115354; 16.998732
15044;Plac Strzegomski / Poznańska;51.113703; 17.006287
15045;Zachodnia / Poznańska;51.117668; 17.007137
15046;Drobnera / Dubois;51.117032; 17.033499
15047;Poniatowskiego / Oleśnicka;51.121308; 17.043077
15048;Nowowiejska / Wyszyńskiego;51.122424; 17.052013
15049;Żeromskiego / Daszyńskiego;51.12566; 17.050463
15050;Żeromskiego / Kluczborska;51.122313; 17.047515
15051;Joliot-Curie (Uwr);51.110662; 17.052712
15052;Sienkiewicza / Piastowska;51.115564; 17.060704
15053;Sienkiewicza / Wyszyńskiego;51.116822; 17.051845
15054;Plac Grunwaldzki / Polaka;51.110415; 17.055591
15055;Wróblewskiego (Teki);51.10411; 17.084711
15056;Komandorska / Sanocka;51.094653; 17.026775
15057;Ślężna / Kamienna (Uniw. Ekonomiczny);51.089842; 17.028225
15058;Oporów (pętla tramwajowa);51.08451; 16.97223
15059;Zaporoska / Gajowicka;51.097209; 17.013967
15060;Traugutta / Kościuszki;51.097147; 17.056251
15061;Nowowiejska / Górnickiego;51.119311; 17.056784
15062;Plac Grunwaldzki (DS Ołówek);51.113912; 17.067207
15063;Zaporoska / Grabiszyńska;51.102117; 17.013683
15064;Grabiszyńska / Stalowa;51.099354; 17.000697
15065;Krucza / Mielecka / Stalowa;51.093426; 17.002893
15066;Aleja Hallera / Mielecka;51.089315; 17.001501
15067;Grochowa / Jemiołowa,;51.095597; 17.008045
15068;Powstańców Śląskich (Arkady Wrocławskie);51.099713; 17.027905
15069;Legnicka / Młodych Techników;51.113141; 17.012175
15070;Żelazna / Pereca;51.098027; 17.006977
15072;Szewska / Kazimierza Wielkiego;51.107471; 17.033335
15073;Na Ostatnim Groszu;51.122636; 16.975708
15074;Grabiszyńska / Magazynierska (Corte Verona);51.096659; 16.988566
15075;Legnicka / Zachodnia;51.117155; 17.000368
15076;Robotnicza / Fabryczna;51.11277; 16.994446
15077;Fosa Miejska;51.104163; 17.031115
15078;Łukasiewicza / Smoluchowskiego (PWr);51.108288; 17.064884
15079;Kazimierza Wielkiego (Helios);51.110342; 17.02601
15080;Drobnera / Plac Bema;51.117557; 17.040967
15081;Krzywoustego - Rynek Psie Pole;51.147339; 17.11452
15082;Pilczycka / Kozanowska;51.13699; 16.966199
15083;Aleja Kromera;51.132259; 17.065453
15084;Leśnica - pętla tramwajowa;51.145074; 16.871502
15085;Krzycka / Aleja Karkonoska (Park Po�udniowy);51.074992; 17.007058
15086;Mościckiego (stacja kolejowa);51.063834; 17.083366
15094;Żmigrodzka / Broniewskiego;51.136111; 17.036262
15087;Zwycięska / Ołtaszyńska;51.059458; 17.006542
15088;Strzegomska / Estońska;51.111874; 16.960692
15089;Świeradowska (Ferio Gaj);51.07692; 17.041439
15090;Wałbrzyska - pętla tramwajowa;51.06577709842137; 16.98857545852661
15091;Buforowa - Vivaldiego;51.051546; 17.059094
15092;Pilczycka (Stadion Miejski);51.143633; 16.950712
15093;Bardzka / Piękna;51.085018; 17.049193
15095;Tyrmanda / Trawowa;51.100211; 16.951602
15096;Zatorska / Królewska - pętla MPK;51.160332109260665; 17.133682966232296
15097;Marca Polo (Olimpia Port);51.110299; 17.117854
15098;Osobowicka - pętla tramwajowa;51.137856; 16.994273
15099;Waniliowa / Cynamonowa;51.17592; 16.998482
15100;Żernicka;51.123237; 16.924321
15251;Promenady Wrocławskie;51.12887567; 17.04499841
15252;Centrum Handlowe Auchan Bielany;51.052723; 16.968801
15253;Aleja Bielany;51.048391; 16.961699
15101;Obornicka / Bałtycka;51.136786; 17.030368
15102;Berenta / Kasprowicza;51.13833; 17.06063
15103;Kraszewskiego / Trzebnicka;51.12843; 17.0363
15104;Grota-Roweckiego / Parafialna;51.06277; 17.0321
15105;Świeradowska / Krynicka;51.077147; 17.046785
15106;Krzywoustego / Korona;51.14035; 17.08494
15107;Rogowska / Zemska;51.11869; 16.95336
15108;Hermanowska / Kołobrzeska;51.12353; 16.95059
15109;Solskiego / al. Piastów;51.0775; 16.96396
15110;Czekoladowa / Wałbrzyska;51.06404; 16.97753
15111;Tarnogajska / Klimasa;51.08015; 17.06228
15112;Opolska / pętla tramwajowa;51.07748; 17.08405
15113;Graniczna / Strzegomska;51.10702; 16.94971
15114;Żmigrodzka / Marino;51.15013; 17.02903
15115;Strachowskiego / Parafialna;51.05725; 17.02247
15116;Zwycięska / Agrestowa;51.0586; 17.01411
15117;al. Karkonoska / Jeździecka;51.061634; 16.996738
15118;Ślężna / Skierniewicka;51.07708; 17.01824
15119;Strzegomska / Rogowska;51.11059; 16.95514
15120;Karwińska / Opolska;51.08149; 17.07693
15121;Reymonta / Kleczkowska;51.12695; 17.02804
15122;Młodych Techników;51.118899; 17.013477
15123;Popowicka / Niedźwiedzia;51.12599; 16.99725
15124;Lotnicza / Metalowców;51.13258; 16.95697
15125;Zaporoska / Wielka / Krucza;51.09431; 17.01479
15126;Maślicka / Stodolna;51.15755; 16.92781
15127;Bystrzycka / Idzikowskiego;51.12658; 16.95499
15128;al. Kochanowskiego / Śniadeckich;51.12021; 17.07779
15129;al. Brucknera / Kwidzyńska;51.13198; 17.07945
15130;Kozanowska / Pilczycka;51.13252; 16.97377
15131;Pilczycka / Koszykarska;51.140713; 16.958199
15132;al. Jana III Sobieskiego / stacja kolejowa;51.150227; 17.118549
15133;Kamieńskiego / Jutrosińska;51.147082; 17.042321
15134;Semaforowa;51.05927; 17.07877
15135;Olszewskiego - Spółdzielcza;51.10209; 17.10168
15136;Olszewskiego, pętla tramwajowa;51.101431; 17.108481
15137;Bacciarellego;51.105578; 17.111316
15138;al. Kochanowskiego / Kopernika;51.11514; 17.07436
15139;Bałtycka / Żmigrodzka;51.13959; 17.03216
15140;Bezpieczna / Obornicka;51.14156; 17.02587
15141;Drzewieckiego / Dedala;51.125652; 16.968627
15142;Ślężna / pętla tramwajowa;51.072302; 17.012384
15143;Mościckiego / Chińska;51.05909; 17.08687
15144;Krakowska / Leroy Merlin;51.09053; 17.06373
15145;Koszarowa / UWr;51.14128; 17.06613
15146;Sołtysowicka / Redycka;51.14905; 17.07565
15147;al. Poprzeczna / stacja kolejowa;51.142596; 17.081411
15148;Przyjaźni / Karkonoska;51.06841; 17.00399
15149;Przyjaźni;51.06667; 16.99435
15150;Konduktorska;51.06628; 17.05825
15151;Jerzmanowska;51.120913; 16.876257
15152;Nyska / Piękna;51.08476; 17.05309
15153;pl. Powstańców Wielkopolskich;51.12469; 17.03488
15154;Plac Staszica;51.12274; 17.03061
15155;Jedności Narodowej / Wyszyńskiego;51.12814; 17.05477
15156;Mickiewicza / pętla tramwajowa;51.11397; 17.10395
15157;al. Armii Krajowej / Borowska;51.08361; 17.03523
15158;Gliniana / Gajowa;51.09152; 17.04033
15159;Kamienna / Tomaszowska;51.087764; 17.039318
15160;al. Armii Krajowej / Bardzka;51.08283; 17.04824
15161;Hallera / Odkrywc�w;51.09126; 16.98581
15162;Skarbowców / Wietrzna;51.07329; 16.99485
15163;Racławicka / Rymarska;51.08022; 16.99467
15164;Lotnicza / Bajana;51.13004; 16.96605
15165;Strachocinska / Wietniacza;51.10666; 17.14298
15166;Księgarska / Dekarska / Zduńska;51.17759; 17.01588
15168;Nyska / Jesionowa;51.08729; 17.05115
15169;al. Armii Krajowej / Tarnogajska;51.083551; 17.060519
15170;Prochowicka / Dolnobrzeska;51.15127; 16.86564
15171;Boguszowska / Kosmonautów;51.14395; 16.89012
15172;Popowicka;51.127778; 16.990915
15173;Kosmonautów / Glinianki / WUWA2;51.13884; 16.93191
15174;Wilanowska;51.15509; 17.13249
15175;Okulickiego;51.1607728250085; 17.12273418903351
15176;Poleska / Litewska;51.142323; 17.127246
15177;Bacciarellego / pętla autobusowa;51.10224; 17.11645
15178;Średzka / Dolnobrzeska;51.14597; 16.86692
15179;Miłoszycka / Swojczycka;51.11464; 17.13042
15180;Stabłowicka / Główna;51.16322; 16.89648
15181;Wojanowska / Arbuzowa;51.15435; 16.89888
15182;Osobowicka / Ostrowska;51.14382; 16.98789
15183;Kiełczowska;51.14574; 17.13493
15184;Gorlicka / Litewska;51.141797; 17.123711
15185;Kasprowicza / Syrokomli;51.137258; 17.048546
15186;Paprotna / Obornicka, zajezdnia MPK;51.148528; 17.020477
15187;Kosmonautów / Fieldorfa, szpital wojew�dzki;51.14221; 16.90591
15188;Stabłowicka;51.171074; 16.902364
15189;Mrągowska / Rolna;51.149606; 16.938033
15190;Partyzantów / Okrzei;51.109457; 17.097924
15191;Hubska / Prudnicka;51.089572; 17.045321
15192;Jagodzińska / Buforowa;51.05864; 17.05717
15193;Kołłątaja / Podwale;51.103854; 17.03678
15194;Opolska / Siemianowicka;51.071275; 17.090906
15195;Piaskowa / Św. Ducha;51.11289; 17.03971
15196;Klecińska / Duńska;51.109433; 16.969097
15197;pl. Orląt Lwowskich;51.10823; 17.02138
15198;Komandorska / Kamienna;51.09009; 17.0235
15199;Wrocław Stadion, stacja kolejowa;51.13707; 16.94095
15200;Wrocław Leśnica, stacja kolejowa;51.14323; 16.86627
15167;Stadion Olimpijski;51.118030730849426; 17.095563411712646
15254;Popowice;51.129565; 16.989853
15255;Grota-Roweckiego/Iwaszkiewicza;51.05687; 17.03236
15256;Kowalska/Lechitów;51.13197; 17.11071
15257;Kamieńskiego;51.15472; 17.04376
15258;Lubelska/Łukowska;51.165419; 16.920266
15259;Kwidzyńska pętla;51.12776; 17.10254
15260;Rakowiecka;51.09761; 17.06855
15261;Powstańców Śląskich/Orla;51.08; 17.00773
15262;Angel;51.103778; 17.05155
15263;Klecińska (Wrocław Grabiszyn);51.09724; 16.97512
15264;Rogowska/Sukielicka;51.11805; 16.94632
15265;Kozanowska/Pałucka;51.13863; 16.97735
15266;Piławska;51.07236; 17.04294
15267;Gorlicka/Stanety;51.14518; 17.11679
15268;3M;51.1277; 17.11456
15269;Gazowa/Międzyleska;51.07814; 17.07026
15270;Bezpieczna/Jugosławiańska;51.13894; 17.02028
15271;Piłsudskiego 13 od Jump Hall;51.1052; 17.02123
15272;Bardzka (cmentarz);51.07217; 17.05281
1;Pl. Kromera;51.13207714749649;17.06550121307373
2;Jedności Narodowej - Wyszyńskiego;51.12811145398997;17.05474019050598
3;Jedności Narodowej - Nowowiejska;51.12462351680015;17.045599222183228
4;Dworzec Nadodrze;51.12454271204484;17.034999132156372
5;Żeromskiego - Daszyńskiego;51.12557296208677;17.050459384918213
6;Plac Staszica;51.12288618340934;17.03056812286377
7;Bajana - Szybowcowa;51.121323874330685;17.036458253860474
8;Jedności Narodowej - Oleśnicka;51.121256532234305;17.043163776397705
9;Żeromskiego - Kluczborska;51.122387866424724;17.047605514526364
10;Nowowiejska - Wyszyńskiego;51.1222834885376;17.05226182937622
11;Wyszyńskiego - Prusa;51.119431524045254;17.05151081085205
12;Nowowiejska - Prusa;51.11920928565168;17.05654263496399
13;Plac Bema;51.11743807478881;17.041382789611816
14;Drobnera - Dubois;51.11698010808053;17.033389806747437
15;Sienkiewicza - Wyszyńskiego;51.116838676267925;17.05156981945038
16;Sienkiewicza - Piastowska;51.11568363359365;17.060614228248596
17;Plac Uniwersytecki;51.113844934670325;17.034462690353394
18;Hala Targowa;51.11287840974499;17.039633989334103
19;Kredka i Ołówek;51.11390891992754;17.067153453826904
